"filename", "language", "TypeScript", "JSON", "JavaScript", "JSON with Comments", "HTML", "CSS", "Svelte", "Markdown", "comment", "blank", "total"
"d:\CodeProjects_2\sharemai-tobeit68\src\routes\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 50, 0, 6, 12, 68
"d:\CodeProjects_2\sharemai-tobeit68\src\routes\api\pay\+server.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 0, 4, 18, 75
"d:\CodeProjects_2\sharemai-tobeit68\src\routes\auth\+page.server.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 2, 6, 34
"d:\CodeProjects_2\sharemai-tobeit68\src\routes\auth\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 97, 0, 3, 8, 108
"d:\CodeProjects_2\sharemai-tobeit68\src\routes\auth\callback\[provider]\+server.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 1, 6, 32
"d:\CodeProjects_2\sharemai-tobeit68\src\routes\main\+layout.server.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 1, 3, 18
"d:\CodeProjects_2\sharemai-tobeit68\src\routes\main\+layout.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 109, 0, 3, 3, 115
"d:\CodeProjects_2\sharemai-tobeit68\src\routes\main\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 97, 0, 4, 16, 117
"d:\CodeProjects_2\sharemai-tobeit68\src\routes\main\payment\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 124, 0, 1, 10, 135
"d:\CodeProjects_2\sharemai-tobeit68\src\routes\main\post\+page.server.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 0, 0, 5, 8, 65
"d:\CodeProjects_2\sharemai-tobeit68\src\routes\main\post\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 154, 0, 3, 18, 175
"d:\CodeProjects_2\sharemai-tobeit68\src\routes\main\profile\+page.server.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 2, 3, 24
"d:\CodeProjects_2\sharemai-tobeit68\src\routes\main\profile\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 104, 0, 2, 5, 111
"d:\CodeProjects_2\sharemai-tobeit68\svelte.config.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 6, 4, 22
"d:\CodeProjects_2\sharemai-tobeit68\tailwind.config.ts", "TypeScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 3, 97
"d:\CodeProjects_2\sharemai-tobeit68\tsconfig.json", "JSON with Comments", 0, 0, 0, 15, 0, 0, 0, 0, 5, 1, 21
"d:\CodeProjects_2\sharemai-tobeit68\vite.config.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"Total", "-", 845, 4710, 46, 15, 12, 73, 3160, 2, 108, 577, 9548
